,Date,Action,Type,ADBE_Shares,ORCL_Shares,ADBE_Price,ORCL_Price
0,2021-03-15,Open Position,upper,111.7093777990839,738.2252697744987,447.5899963378906,67.7300033569336
1,2021-03-18,Close Position,upper,113.84853780648389,749.1759304826559,439.17999267578125,66.73999786376953
2,2021-03-22,Open Position,upper,110.51921839761839,753.9203894764512,452.4100036621094,66.31999969482422
3,2021-03-25,Close Position,upper,110.8672056646213,728.5443975084795,450.989990234375,68.62999725341797
4,2021-03-26,Open Position,upper,106.58935468746269,711.7437722419929,469.0899963378906,70.25
5,2021-04-20,Close Position,upper,97.23653344636448,630.9944642598384,514.2100219726562,79.23999786376953
6,2021-04-22,Open Position,lower,98.5629504973236,667.8242041640983,507.2900085449219,74.87000274658203
7,2021-04-23,Close Position,lower,96.92927535072673,666.9334291833037,515.8400268554688,74.97000122070312
8,2021-04-30,Open Position,lower,98.35936648739576,659.7176328804653,508.3399963378906,75.79000091552734
9,2021-05-14,Close Position,lower,102.76224977574071,633.7938951303979,486.55999755859375,78.88999938964844
10,2021-05-20,Open Position,upper,101.69422302454285,635.1625917766138,491.6700134277344,78.72000122070312
11,2021-06-01,Close Position,upper,100.8247456812098,628.377531629579,495.9100036621094,79.56999969482422
12,2021-06-03,Open Position,lower,101.39108268398236,616.5988686404304,493.1400146484375,81.08999633789062
13,2021-06-04,Close Position,lower,99.10802775024777,603.2090767061118,504.5,82.88999938964844
14,2021-06-07,Open Position,upper,98.14120533142035,595.6635518911518,509.4700012207031,83.94000244140625
15,2021-07-12,Close Position,upper,83.30556311743817,574.1846457124083,600.2000122070312,87.08000183105469
16,2021-07-14,Open Position,upper,82.12472873626663,566.3797087832066,608.8300170898438,88.27999877929688
17,2021-07-19,Close Position,upper,83.04958228351275,574.8447697204447,602.0499877929688,86.9800033569336
18,2021-07-20,Open Position,upper,82.13957551326205,563.9521535613076,608.719970703125,88.66000366210938
19,2021-08-02,Close Position,upper,80.8080808080808,570.7762656499482,618.75,87.5999984741211
20,2021-08-04,Open Position,upper,79.91305553206223,555.2470661357071,625.6799926757812,90.05000305175781
21,2021-08-10,Close Position,upper,80.41946920794284,557.7867061629405,621.739990234375,89.63999938964844
22,2021-08-12,Open Position,upper,78.82084326371402,556.7308914286414,634.3499755859375,89.80999755859375
23,2021-08-18,Close Position,upper,79.77407732008959,562.1767329379155,626.77001953125,88.94000244140625
24,2021-08-19,Open Position,upper,78.41169605398308,563.634319874001,637.6599731445312,88.70999908447266
25,2021-09-07,Close Position,upper,75.59835935318368,563.5707767363322,661.3900146484375,88.72000122070312
26,2021-09-09,Open Position,lower,75.56522874116834,558.4096436091211,661.6799926757812,89.54000091552734
27,2021-09-15,Close Position,lower,75.63380938378111,569.930446674813,661.0800170898438,87.7300033569336
28,2021-09-16,Open Position,upper,75.17553652960285,573.0659025787966,665.1099853515625,87.25
29,2021-09-17,Close Position,upper,76.39653082159843,578.7706951412617,654.47998046875,86.38999938964844
30,2021-09-20,Open Position,lower,77.9678487317138,580.2483586221014,641.2899780273438,86.16999816894531
31,2021-10-07,Close Position,lower,86.36174882963068,541.6531396641248,578.9600219726562,92.30999755859375
32,2021-10-13,Open Position,upper,84.58519490630269,518.6721909602599,591.1199951171875,96.4000015258789
33,2021-11-01,Close Position,upper,78.10059207532589,529.7732724630828,640.2000122070312,94.37999725341797
34,2021-11-03,Open Position,upper,76.31490668052606,520.0207925794201,655.1799926757812,96.1500015258789
35,2021-11-10,Close Position,upper,77.22007722007721,532.878599853673,647.5,93.83000183105469
36,2021-11-11,Open Position,lower,77.73994640384896,531.6886379543228,643.1699829101562,94.04000091552734
37,2021-11-15,Close Position,lower,75.78858242045344,531.8017632974177,659.72998046875,94.0199966430664
38,2021-11-16,Open Position,upper,74.51231363280637,522.9578462588836,671.030029296875,95.61000061035156
39,2021-11-23,Close Position,upper,75.16988697264199,537.9814793045906,665.1599731445312,92.94000244140625
40,2021-11-26,Open Position,lower,75.51729624480288,541.5357847765446,662.0999755859375,92.33000183105469
41,2021-11-29,Close Position,lower,72.72833162698747,537.9814793045906,687.489990234375,92.94000244140625
42,2021-12-01,Open Position,lower,76.05604119578442,557.1030640668523,657.4099731445312,89.75
43,2021-12-02,Close Position,lower,74.41805030158751,555.617303999629,671.8800048828125,89.98999786376953
44,2021-12-03,Open Position,lower,81.09905053128193,566.6364597740942,616.530029296875,88.23999786376953
45,2021-12-08,Close Position,lower,76.55795723333449,562.1767329379155,653.0999755859375,88.94000244140625
46,2021-12-14,Open Position,lower,81.31932666168083,500.55060872471563,614.8599853515625,99.88999938964844
